Age,Income,Loan_Amount,Credit_Score,Employment_Years,Education_Level,Housing_Status,Default
59,52154.0,11276,823,15,Bachelors,Own,0
49,116646.0,43663,315,5,PhD,Own,0
35,61157.0,18994,428,8,Masters,Own,1
63,52154.0,28499,408,26,Bachelors,Rent,0
28,148876.0,28040,832,3,Masters,Own,1
41,87506.0,48320,568,26,PhD,Own,0
59,107487.0,21959,461,27,Masters,Own,0
39,49486.0,11099,559,1,PhD,Own,1
43,24018.0,47267,401,28,High School,Own,0
31,64028.0,24576,805,3,Masters,Own,1
31,22336.0,40946,546,0,Masters,Rent,1
44,149038.0,11116,836,18,High School,Own,0
56,149038.0,20563,430,25,Masters,Own,0
60,52265.0,31788,652,24,High School,Mortgage,0
44,52265.0,31928,495,9,Bachelors,Rent,0
23,86656.0,41336,681,20,PhD,Rent,0
42,75180.0,14847,526,14,High School,Rent,0
22,64028.0,31155,775,26,Masters,Rent,0
44,61157.0,19135,776,21,High School,Own,0
64,29446.0,22774,564,18,Masters,Own,1
50,116809.0,6742,671,15,Bachelors,Mortgage,0
58,44519.0,23309,785,20,High School,Mortgage,0
22,63872.0,5619,733,26,Bachelors,Rent,0
41,132250.0,22658,510,23,PhD,Mortgage,0
53,74917.0,39707,676,21,Masters,Mortgage,0
32,116646.0,25337,694,3,Masters,Rent,0
42,71356.0,21001,749,1,Bachelors,Rent,1
64,148876.0,5968,663,29,PhD,Mortgage,0
45,86656.0,30892,756,24,High School,Own,0
47,91907.0,30619,525,12,High School,Mortgage,0
62,75180.0,5281,430,27,Masters,Mortgage,1
48,107487.0,32420,775,0,Bachelors,Own,0
36,86656.0,20360,576,16,Bachelors,Own,0
35,76819.0,44030,455,12,High School,Rent,0
64,63872.0,6058,517,3,PhD,Rent,0
23,79379.0,25677,489,6,PhD,Mortgage,0
57,117720.0,15724,716,16,High School,Own,0
27,87779.0,33404,845,8,High School,Rent,1
41,148876.0,42946,340,3,Bachelors,Mortgage,0
29,63872.0,44748,606,18,PhD,Own,0
59,75180.0,34856,637,0,High School,Mortgage,0
38,107487.0,14200,613,9,High School,Rent,0
24,43710.0,38997,374,3,Masters,Rent,0
45,52265.0,30611,578,8,High School,Own,0
34,91895.0,46235,475,12,High School,Mortgage,0
29,87506.0,40057,572,13,PhD,Own,0
46,61157.0,6239,588,9,Bachelors,Rent,0
22,122916.0,43138,571,5,PhD,Rent,0
40,116646.0,5125,365,15,Bachelors,Mortgage,0
48,145733.0,28857,782,5,Masters,Mortgage,0
27,84435.0,20398,547,16,High School,Mortgage,0
64,84484.0,11638,455,9,Masters,Own,1
28,22336.0,11570,346,17,Bachelors,Mortgage,0
55,103122.0,8249,753,26,PhD,Mortgage,0
34,149038.0,14110,500,21,PhD,Rent,1
37,52154.0,45363,423,17,Masters,Rent,1
56,100910.0,18605,300,2,Bachelors,Mortgage,0
60,63872.0,17115,490,19,Masters,Mortgage,0
24,66197.0,44062,815,26,Masters,Rent,0
22,118723.0,27911,741,20,High School,Mortgage,0
26,116809.0,43525,442,24,Masters,Own,0
62,71356.0,37556,490,27,High School,Own,0
24,82254.04771573604,17595,832,14,High School,Own,0
49,91907.0,6969,526,14,PhD,Mortgage,0
38,122916.0,48753,612,3,High School,Rent,0
46,20922.0,22275,601,28,High School,Mortgage,0
64,86656.0,9470,759,26,PhD,Mortgage,0
54,91907.0,15225,700,8,Masters,Rent,0
30,52265.0,47324,692,26,Bachelors,Rent,0
56,71356.0,46974,506,25,Bachelors,Rent,0
34,82254.04771573604,47759,509,18,Bachelors,Own,0
51,149038.0,28196,414,23,Masters,Mortgage,1
35,63872.0,45287,550,27,High School,Rent,0
28,140430.0,18669,518,16,Bachelors,Mortgage,0
34,20922.0,42380,706,10,Masters,Own,1
43,148876.0,43006,742,24,High School,Own,0
60,103122.0,20577,653,8,PhD,Rent,0
41,103122.0,27473,849,9,Bachelors,Rent,1
36,44519.0,33625,441,17,High School,Mortgage,0
38,86656.0,20504,800,19,Bachelors,Rent,0
44,66197.0,29089,846,12,Bachelors,Mortgage,0
46,79201.0,41487,841,7,Bachelors,Rent,0
45,117720.0,5302,806,6,High School,Mortgage,0
61,86656.0,36463,580,16,Masters,Mortgage,0
49,116809.0,49912,723,20,High School,Mortgage,0
35,132250.0,34259,569,22,Bachelors,Mortgage,0
21,24018.0,47823,453,14,High School,Own,0
45,112738.0,42208,382,19,PhD,Mortgage,0
27,79379.0,35659,725,14,Masters,Rent,0
29,64028.0,40840,574,0,High School,Own,0
44,39029.0,36890,583,24,PhD,Own,0
21,64028.0,18598,472,13,Masters,Mortgage,0
64,25408.0,24508,626,4,PhD,Own,0
28,75180.0,47287,362,10,Masters,Mortgage,0
44,43710.0,18380,372,15,High School,Rent,1
31,149038.0,31984,674,1,PhD,Mortgage,0
37,30789.0,49633,807,7,Bachelors,Own,0
28,117720.0,13125,697,10,PhD,Rent,0
55,112738.0,41059,419,28,Masters,Mortgage,1
55,74917.0,9033,736,17,High School,Rent,0
53,30789.0,42873,764,2,Masters,Rent,0
25,87779.0,22087,585,29,PhD,Own,0
62,84435.0,45901,564,25,PhD,Rent,0
59,52154.0,10704,619,0,Bachelors,Own,0
61,75180.0,12848,675,10,High School,Rent,0
48,118723.0,26592,388,15,High School,Mortgage,1
27,86656.0,11924,502,17,PhD,Rent,0
29,84484.0,32208,633,29,High School,Mortgage,0
28,60631.0,24614,521,15,Bachelors,Mortgage,1
32,20922.0,5488,340,22,Masters,Rent,0
54,84435.0,44882,367,9,High School,Mortgage,0
53,112738.0,30923,813,17,PhD,Rent,0
43,25408.0,40941,426,5,Masters,Rent,0
44,29446.0,34165,554,18,Masters,Mortgage,0
57,66197.0,6667,315,3,Bachelors,Mortgage,0
55,84435.0,31213,776,26,PhD,Own,0
64,29446.0,9114,361,12,High School,Mortgage,0
60,118723.0,41321,731,23,PhD,Own,0
42,84484.0,12761,567,13,Masters,Mortgage,0
47,63872.0,36116,334,2,PhD,Rent,0
55,84435.0,38768,793,9,High School,Mortgage,0
21,112738.0,30426,768,5,High School,Rent,0
55,82254.04771573604,22772,624,0,Bachelors,Rent,0
57,123677.0,43218,603,22,High School,Rent,1
34,76819.0,8712,575,23,High School,Own,0
23,102870.0,6367,500,26,PhD,Mortgage,0
21,71356.0,45957,744,13,PhD,Rent,0
25,149038.0,46781,623,7,Masters,Rent,0
46,45053.0,31200,334,18,Bachelors,Own,0
34,123677.0,8726,781,13,PhD,Mortgage,0
59,102870.0,28616,779,9,High School,Mortgage,0
47,52154.0,32723,364,16,Masters,Own,0
29,84435.0,42574,307,8,PhD,Own,0
35,49486.0,39958,600,28,Bachelors,Mortgage,0
35,52154.0,14108,642,5,Bachelors,Own,0
46,102870.0,17178,730,10,Masters,Mortgage,0
62,91324.0,40643,723,24,Masters,Mortgage,0
33,63872.0,36324,631,6,Masters,Rent,0
52,45053.0,43360,737,16,Masters,Rent,0
59,79379.0,22824,473,27,Masters,Mortgage,0
52,82254.04771573604,13927,826,27,High School,Mortgage,0
24,100910.0,33144,325,0,High School,Mortgage,0
50,149038.0,36010,705,21,PhD,Mortgage,0
57,148876.0,27443,531,4,Bachelors,Mortgage,0
43,60631.0,19437,832,8,High School,Mortgage,0
59,24018.0,49298,849,17,High School,Own,1
35,84484.0,44778,804,23,High School,Mortgage,0
63,84435.0,16207,478,26,PhD,Own,0
49,60631.0,30537,431,20,Masters,Own,0
56,102870.0,40757,754,1,PhD,Mortgage,0
33,132250.0,17040,647,28,Bachelors,Mortgage,1
52,149038.0,46986,839,25,Bachelors,Own,0
27,87506.0,27612,705,10,Bachelors,Own,0
42,82254.04771573604,33441,375,26,Bachelors,Mortgage,0
48,116646.0,11471,791,27,High School,Mortgage,0
22,52154.0,40631,493,5,High School,Own,0
62,136553.0,48461,461,25,PhD,Own,0
26,31302.0,31523,646,7,Masters,Own,0
48,123677.0,36348,660,3,Bachelors,Rent,0
48,44519.0,6177,386,17,PhD,Own,0
64,44519.0,9760,561,27,High School,Rent,1
64,45053.0,37779,513,10,High School,Mortgage,0
40,91907.0,26636,561,4,Masters,Mortgage,0
50,39029.0,21353,582,14,Masters,Own,0
31,87779.0,16556,766,27,Masters,Mortgage,0
48,71356.0,32598,679,17,PhD,Mortgage,0
45,84484.0,16563,661,1,High School,Mortgage,0
59,123677.0,48790,748,21,High School,Mortgage,0
53,60631.0,13234,740,10,Masters,Rent,1
21,112738.0,30519,392,25,Bachelors,Rent,0
47,52154.0,31966,723,24,Masters,Own,0
33,116646.0,21173,441,12,PhD,Own,0
61,82254.04771573604,31987,590,3,Masters,Own,0
23,31302.0,18178,731,21,Masters,Mortgage,0
59,30789.0,44338,348,6,PhD,Mortgage,0
26,71356.0,29596,601,28,Masters,Rent,0
28,116646.0,38174,489,10,High School,Rent,1
47,148876.0,46974,435,21,Bachelors,Own,0
29,122916.0,9431,703,23,Masters,Rent,0
57,31302.0,32764,640,3,PhD,Rent,0
53,149038.0,26627,617,27,Bachelors,Rent,0
62,87779.0,44310,662,14,PhD,Rent,0
64,84484.0,13906,681,0,Bachelors,Rent,0
44,148876.0,41914,532,22,Bachelors,Own,0
35,116646.0,49814,643,2,Masters,Own,0
52,39029.0,18076,848,13,High School,Rent,0
52,79201.0,42650,828,5,Masters,Own,0
44,123677.0,11012,482,17,PhD,Mortgage,0
61,30789.0,12151,340,24,PhD,Rent,0
32,100910.0,33211,696,0,Bachelors,Mortgage,0
59,123677.0,32117,793,5,Bachelors,Own,0
22,91907.0,41378,632,5,High School,Own,0
23,75180.0,47652,426,20,Masters,Mortgage,0
57,91324.0,11894,300,15,PhD,Own,0
37,87506.0,18467,467,28,Bachelors,Rent,0
22,122916.0,36010,318,4,High School,Mortgage,0
22,20922.0,47641,631,16,PhD,Rent,0
48,100910.0,17289,755,9,Bachelors,Mortgage,0
43,22336.0,49976,408,27,PhD,Own,0
57,91895.0,48596,567,20,High School,Mortgage,0
52,79379.0,28171,744,17,High School,Mortgage,0
53,112738.0,39905,539,6,PhD,Rent,0
21,44519.0,25829,600,2,Masters,Own,0
39,112738.0,39054,402,12,PhD,Rent,0
22,87779.0,49139,549,14,Bachelors,Own,1
64,71356.0,34734,752,19,Masters,Rent,0
46,20922.0,12052,819,18,Bachelors,Mortgage,0
52,45053.0,8654,452,2,PhD,Rent,0
26,91895.0,28486,473,3,Masters,Own,0
52,45053.0,23743,642,4,Bachelors,Own,0
24,52265.0,29489,730,0,PhD,Mortgage,0
31,52154.0,13636,623,3,PhD,Own,0
37,79379.0,11441,719,11,Masters,Rent,0
58,24018.0,29611,784,27,PhD,Mortgage,0
44,82254.04771573604,47435,711,26,High School,Own,0
25,148876.0,17149,383,23,Bachelors,Own,0
54,61157.0,39566,412,9,Bachelors,Rent,0
26,29446.0,47368,631,22,PhD,Rent,0
42,116809.0,26675,677,24,PhD,Mortgage,1
31,145733.0,10495,340,20,High School,Own,1
36,24018.0,47668,404,28,Masters,Rent,0
53,31302.0,18673,501,25,PhD,Mortgage,0
29,71356.0,16130,749,19,PhD,Own,1
26,107487.0,27668,565,23,PhD,Own,0
36,29446.0,20222,509,24,PhD,Mortgage,0
49,61157.0,28669,417,12,Bachelors,Mortgage,1
23,122916.0,39068,676,22,PhD,Rent,0
40,132250.0,28253,839,13,Bachelors,Own,0
56,102870.0,14435,383,22,PhD,Own,0
39,103122.0,33552,753,4,Masters,Own,0
46,39029.0,42384,813,3,High School,Mortgage,0
23,43710.0,21393,686,13,Masters,Rent,0
39,79201.0,15617,649,9,PhD,Own,0
40,118723.0,43520,595,16,PhD,Mortgage,0
52,43710.0,14852,557,9,PhD,Own,0
27,30789.0,36401,380,25,Masters,Rent,0
61,25408.0,11295,567,6,PhD,Own,0
53,44519.0,40993,718,15,Masters,Rent,1
60,102870.0,39084,534,0,Bachelors,Rent,0
59,91907.0,44575,610,16,High School,Own,0
38,71356.0,41451,656,20,High School,Own,0
60,123677.0,12227,512,28,Masters,Rent,0
21,25408.0,36910,348,8,Bachelors,Mortgage,0
31,60631.0,41041,426,5,Masters,Rent,0
48,149038.0,28384,522,18,Bachelors,Own,0
45,25408.0,5145,578,12,PhD,Own,0
43,100910.0,42778,707,2,Bachelors,Mortgage,0
51,103122.0,21035,804,6,Bachelors,Rent,0
50,63872.0,8040,593,21,Bachelors,Rent,0
62,24018.0,47422,576,8,High School,Rent,0
55,49486.0,31160,737,21,Bachelors,Own,0
27,117720.0,22633,406,4,PhD,Rent,0
36,136553.0,34344,719,9,PhD,Mortgage,1
46,103122.0,22014,728,22,PhD,Own,0
22,118723.0,19996,674,16,Bachelors,Own,0
21,75180.0,46621,372,11,Masters,Rent,0
32,91907.0,16695,329,22,Masters,Mortgage,0
25,87506.0,7852,487,15,PhD,Own,0
57,86656.0,21014,663,2,High School,Own,0
52,52154.0,32042,750,29,Masters,Rent,0
29,49486.0,38755,494,24,Bachelors,Rent,0
61,39029.0,45390,455,21,Masters,Mortgage,0
55,71356.0,28711,471,8,PhD,Rent,0
39,122916.0,31122,340,28,High School,Mortgage,0
36,116809.0,14160,362,14,Masters,Own,0
23,74917.0,32213,322,4,Masters,Mortgage,0
40,79379.0,44420,659,22,PhD,Mortgage,0
44,20922.0,12421,374,12,High School,Mortgage,0
53,145733.0,26400,417,13,High School,Own,0
44,52265.0,38537,679,19,PhD,Rent,1
31,66197.0,22727,589,14,Bachelors,Own,0
28,132250.0,9358,739,15,Masters,Rent,0
56,39029.0,33482,306,22,Bachelors,Mortgage,0
58,25408.0,37117,495,12,Masters,Mortgage,0
60,122916.0,28164,720,16,Masters,Mortgage,0
40,117720.0,36910,492,22,Bachelors,Mortgage,0
55,132250.0,37496,447,7,PhD,Mortgage,0
45,107487.0,49311,501,20,PhD,Rent,0
55,71356.0,34371,743,1,Masters,Rent,0
45,145733.0,43467,718,4,PhD,Mortgage,0
49,118723.0,22625,726,5,Masters,Own,0
38,20922.0,38893,778,11,PhD,Own,0
38,64028.0,15793,774,17,Masters,Mortgage,0
22,22336.0,36007,425,29,PhD,Rent,0
55,74917.0,30766,694,21,High School,Own,0
36,64028.0,44532,624,21,Bachelors,Own,0
61,63872.0,17323,691,0,High School,Own,0
56,39029.0,12843,739,29,Bachelors,Mortgage,0
53,107487.0,19210,503,16,Bachelors,Own,1
24,49486.0,21456,785,29,Masters,Own,0
53,112738.0,36367,330,10,Bachelors,Own,0
34,44519.0,15106,687,9,High School,Own,0
41,49486.0,42957,733,18,High School,Rent,0
40,25408.0,7472,675,13,PhD,Mortgage,1
28,86656.0,11704,643,25,High School,Mortgage,0
27,20922.0,8713,742,9,PhD,Rent,0
23,84484.0,10051,374,14,Bachelors,Rent,0
37,91907.0,15756,454,27,High School,Mortgage,0
53,24018.0,7475,729,18,Bachelors,Own,1
32,75180.0,41378,662,3,High School,Own,0
42,82254.04771573604,9255,747,1,High School,Mortgage,1
42,149038.0,19484,533,8,PhD,Own,0
50,52265.0,39503,561,9,Bachelors,Rent,0
58,149038.0,13258,424,27,High School,Own,0
58,86656.0,45747,544,10,Masters,Own,0
28,52154.0,40196,841,13,Bachelors,Own,0
47,20922.0,45194,784,6,Bachelors,Mortgage,0
47,116809.0,13533,421,22,Bachelors,Rent,0
54,63872.0,37581,424,14,PhD,Own,0
41,116809.0,10249,848,21,Masters,Mortgage,0
50,52265.0,24201,469,18,Bachelors,Own,0
53,84435.0,14686,423,21,High School,Rent,0
48,136553.0,37007,334,14,High School,Own,0
53,63872.0,5661,386,29,PhD,Rent,0
25,79201.0,49843,500,27,High School,Own,0
39,39029.0,35137,668,23,Bachelors,Rent,0
24,148876.0,47828,376,7,High School,Own,0
55,30789.0,15526,358,10,Bachelors,Rent,0
37,118723.0,8374,730,28,High School,Own,0
64,61157.0,30592,799,8,Masters,Own,0
48,87779.0,33982,408,14,PhD,Mortgage,1
50,52265.0,5207,577,0,PhD,Mortgage,0
49,148876.0,40433,367,29,Masters,Rent,0
26,29446.0,28197,368,0,Masters,Own,0
55,45053.0,38400,464,18,PhD,Rent,0
61,79201.0,8083,788,2,Masters,Mortgage,0
57,75180.0,34328,604,9,Bachelors,Rent,0
44,25408.0,47891,664,7,High School,Rent,0
49,49486.0,25103,678,14,PhD,Mortgage,1
51,75180.0,44891,642,9,Masters,Own,0
55,39029.0,15754,653,0,Bachelors,Rent,0
53,103122.0,39447,715,28,PhD,Mortgage,0
41,86656.0,20901,408,17,Masters,Own,0
52,24018.0,38004,796,1,PhD,Mortgage,1
43,103122.0,12446,640,18,Masters,Rent,0
53,103122.0,42211,682,12,PhD,Own,0
23,63872.0,34301,832,21,Bachelors,Own,0
38,25408.0,31116,599,0,Bachelors,Mortgage,0
45,82254.04771573604,46323,438,1,High School,Mortgage,1
62,117720.0,23752,658,28,PhD,Mortgage,0
51,75180.0,37376,798,15,High School,Own,0
23,63872.0,21669,684,14,PhD,Own,1
60,145733.0,37916,579,12,Masters,Rent,1
44,117720.0,18395,782,15,Masters,Own,0
52,136553.0,25421,410,16,High School,Rent,0
42,79201.0,31342,438,20,PhD,Mortgage,0
43,31302.0,9895,734,28,High School,Mortgage,0
22,60631.0,16023,808,28,Bachelors,Own,0
47,122916.0,15699,572,6,High School,Mortgage,0
62,43710.0,14715,398,23,High School,Mortgage,0
22,43710.0,24169,403,25,Masters,Own,0
46,149038.0,21163,513,16,High School,Rent,0
37,102870.0,10782,464,6,PhD,Own,0
60,132250.0,27641,819,12,Masters,Rent,0
53,39029.0,23792,583,4,High School,Own,0
29,107487.0,40585,816,25,Bachelors,Own,0
63,45053.0,35682,463,16,High School,Mortgage,0
59,122916.0,23880,363,2,High School,Own,0
49,43710.0,43067,390,6,High School,Own,0
62,84435.0,47685,416,25,Masters,Rent,0
46,25408.0,23073,566,16,PhD,Mortgage,0
55,44519.0,41035,439,6,Bachelors,Rent,0
45,84435.0,42174,545,20,High School,Rent,0
44,148876.0,29837,694,0,PhD,Mortgage,0
33,107487.0,22826,786,16,PhD,Mortgage,0
27,91324.0,29981,775,29,Masters,Mortgage,1
56,30789.0,15382,816,16,Bachelors,Own,0
40,45053.0,9437,483,10,Masters,Mortgage,0
21,116646.0,10435,319,24,PhD,Mortgage,1
28,22336.0,29819,823,26,PhD,Mortgage,0
36,20922.0,41875,828,28,PhD,Rent,0
34,25408.0,36982,446,2,Masters,Rent,0
32,71356.0,38328,603,14,Bachelors,Own,1
43,122916.0,17329,527,28,High School,Rent,0
35,91324.0,30169,401,20,Masters,Own,0
48,74917.0,26932,716,10,PhD,Rent,0
54,116646.0,39594,515,25,Masters,Mortgage,0
22,117720.0,16421,706,27,PhD,Rent,0
52,79379.0,12629,698,15,High School,Own,0
43,117720.0,13325,798,24,High School,Rent,0
42,107487.0,33495,764,21,Bachelors,Mortgage,0
45,140430.0,36750,381,27,PhD,Own,0
42,86656.0,34619,664,8,Bachelors,Mortgage,0
42,66197.0,45461,462,23,Bachelors,Mortgage,0
62,49486.0,13264,347,23,High School,Own,0
26,86656.0,17686,810,0,Masters,Mortgage,0
35,148876.0,29226,628,28,Masters,Mortgage,0
63,123677.0,11721,415,24,Bachelors,Rent,0
57,44519.0,25609,636,21,High School,Mortgage,0
53,91324.0,12373,446,15,PhD,Mortgage,0
28,112738.0,43675,622,8,Masters,Mortgage,0
64,25408.0,33937,742,18,Bachelors,Mortgage,0
64,71356.0,10656,312,11,Masters,Own,0
25,86656.0,13984,793,18,Masters,Rent,1
59,20922.0,34984,586,21,PhD,Mortgage,1
24,118723.0,13286,413,8,High School,Mortgage,0
26,112738.0,10901,779,6,PhD,Own,0
52,100910.0,36552,321,13,High School,Mortgage,0
50,140430.0,30709,648,28,Masters,Own,0
55,112738.0,36055,619,18,Bachelors,Rent,0
60,103122.0,42685,425,18,PhD,Rent,1
36,149038.0,13429,576,1,High School,Mortgage,0
33,91895.0,19716,503,8,Masters,Mortgage,1
62,116646.0,16138,493,12,High School,Mortgage,0
50,60631.0,40298,846,14,High School,Own,0
39,71356.0,28429,585,2,High School,Mortgage,0
37,52154.0,10772,356,10,Masters,Mortgage,0
39,79379.0,40732,602,20,Bachelors,Rent,0
48,22336.0,44905,462,13,Bachelors,Mortgage,0
46,102870.0,22347,318,29,Bachelors,Rent,0
57,136553.0,21920,669,24,High School,Mortgage,0
46,79201.0,36822,563,7,Masters,Rent,0
43,79379.0,45108,412,17,High School,Mortgage,0
29,145733.0,28563,787,18,Bachelors,Rent,0
32,136553.0,12967,626,15,Bachelors,Own,0
21,25408.0,16871,841,1,Masters,Rent,1
21,100910.0,33763,364,7,High School,Rent,0
54,22336.0,16916,591,21,PhD,Rent,0
52,30789.0,13734,324,5,PhD,Mortgage,0
45,79201.0,38613,848,11,Bachelors,Mortgage,0
60,43710.0,33179,300,14,Masters,Mortgage,0
21,49486.0,40262,848,24,High School,Own,0
36,39029.0,17677,440,7,High School,Own,0
59,31302.0,23268,487,3,Bachelors,Rent,0
25,122916.0,17330,427,14,Bachelors,Own,0
42,75180.0,25733,500,27,High School,Rent,1
49,63872.0,42947,426,19,High School,Rent,1
23,86656.0,32286,556,24,Bachelors,Rent,0
32,71356.0,11610,846,16,High School,Own,0
46,43710.0,11430,493,12,PhD,Mortgage,0
36,136553.0,44922,403,17,Bachelors,Own,0
57,140430.0,18828,834,1,High School,Rent,0
42,84435.0,47913,564,12,Bachelors,Rent,0
49,87506.0,36497,683,12,Masters,Own,1
34,52154.0,44256,559,21,Bachelors,Rent,1
48,118723.0,41618,713,14,Bachelors,Rent,0
25,117720.0,31526,657,19,Masters,Own,0
50,76819.0,35158,374,28,PhD,Own,0
25,79379.0,30032,654,26,High School,Own,0
32,87779.0,42846,487,9,Masters,Rent,0
36,91324.0,49936,589,28,Bachelors,Rent,0
46,49486.0,34794,344,2,High School,Mortgage,1
46,145733.0,10448,382,18,Masters,Mortgage,0
41,43710.0,33861,422,2,High School,Own,0
59,24018.0,33141,657,21,High School,Mortgage,0
56,79201.0,14074,827,13,Masters,Rent,0
53,145733.0,11406,365,7,High School,Mortgage,0
50,39029.0,36823,674,26,PhD,Rent,0
57,102870.0,28291,461,22,Masters,Own,0
43,76819.0,46568,679,29,PhD,Own,0
30,76819.0,37003,657,3,Bachelors,Rent,0
25,79379.0,39406,487,26,High School,Mortgage,1
56,123677.0,28312,621,27,Bachelors,Own,0
54,123677.0,48108,749,19,Bachelors,Own,0
51,79201.0,6382,773,10,High School,Mortgage,0
30,136553.0,39171,312,25,Masters,Mortgage,0
39,91907.0,46779,483,10,High School,Rent,0
52,52154.0,8292,410,26,Bachelors,Mortgage,1
21,84435.0,46779,807,29,Bachelors,Mortgage,1
25,52154.0,38187,589,10,Masters,Mortgage,0
24,43710.0,17411,594,1,High School,Rent,0
36,91324.0,42285,750,29,Bachelors,Rent,0
44,43710.0,20422,514,16,PhD,Own,0
36,148876.0,47468,326,8,Bachelors,Rent,0
22,44519.0,37371,530,27,Bachelors,Own,0
48,102870.0,10693,620,27,Masters,Mortgage,0
52,117720.0,38535,532,1,PhD,Own,0
47,136553.0,19818,736,28,Bachelors,Own,0
40,29446.0,36238,832,23,Bachelors,Mortgage,1
44,61157.0,35874,702,14,PhD,Own,0
32,82254.04771573604,31715,352,15,High School,Rent,0
55,102870.0,32605,612,24,High School,Rent,0
53,84435.0,39317,580,3,Bachelors,Rent,0
53,31302.0,36174,330,7,Bachelors,Rent,0
63,49486.0,14956,636,8,High School,Own,0
57,100910.0,43908,482,25,Masters,Own,1
32,102870.0,15837,322,25,PhD,Mortgage,0
23,60631.0,8716,843,4,PhD,Own,0
21,87506.0,9481,745,15,Masters,Own,0
53,79379.0,29282,373,12,Masters,Own,0
60,122916.0,11548,309,29,Masters,Mortgage,0
30,117720.0,42605,783,6,Masters,Rent,1
63,91895.0,12758,755,25,Masters,Own,0
64,82254.04771573604,48668,459,19,Masters,Mortgage,0
49,91907.0,28177,313,16,PhD,Mortgage,0
33,140430.0,29022,477,2,Masters,Mortgage,0
32,103122.0,45761,711,4,High School,Rent,1
51,140430.0,10542,352,18,Masters,Own,1
22,84435.0,30476,707,11,Masters,Mortgage,0
55,30789.0,35784,321,28,PhD,Rent,0
43,87506.0,27740,329,26,PhD,Mortgage,0
37,107487.0,29817,559,6,Masters,Mortgage,0
46,122916.0,21052,504,27,PhD,Mortgage,1
28,122916.0,40153,358,8,Bachelors,Mortgage,0
49,75180.0,5671,770,27,PhD,Mortgage,0
46,74917.0,5163,765,5,PhD,Rent,0
